# 强时间局部性测试，设计用于测试LRU/FIFO/RANDOM替换策略差异
# Cache: 128B, 块大小: 16B, 相联度: 4, 组数: 2


# 初始化填充Cache
r 0000  # 组0，块0
r 0100  # 组0，块1
r 0200  # 组0，块2
r 0300  # 组0，块3
r 0010  # 组1，块0
r 0110  # 组1，块1
r 0210  # 组1，块2
r 0310  # 组1，块3

# 定义热点地址（强时间局部性）
# 第一组热点：0x0000, 0x0010
# 第二组热点：0x0100, 0x0110

# 第一阶段：热点访问
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 冲突访问，引入新块迫使替换
r 0400  # 组0，新块
r 0410  # 组1，新块

# 立即返回热点，测试策略保留热点能力
r 0000
r 0010
r 0100
r 0110
r 0000
r 0010
r 0100
r 0110
r 0000
r 0010
r 0100
r 0110

# 引入更多冲突
r 0500  # 组0，新块
r 0510  # 组1，新块
r 0600  # 组0，新块
r 0610  # 组1，新块

# 返回热点
r 0000
r 0010
r 0100
r 0110
r 0000
r 0010
r 0100
r 0110
r 0000
r 0010
r 0100
r 0110

# 重复模式多次，放大替换策略差异
# 循环1
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0700  # 组0，冲突块
r 0710  # 组1，冲突块
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 循环2
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0800  # 组0，冲突块
r 0810  # 组1，冲突块
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 循环3
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0900  # 组0，冲突块
r 0910  # 组1，冲突块
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 循环4
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0A00  # 组0，冲突块
r 0A10  # 组1，冲突块
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 循环5
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0B00  # 组0，冲突块
r 0B10  # 组1，冲突块
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 循环6
r 0000
r 0010
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110
r 0C00  # 组0，冲突块
r 0C10  # 组1，冲突块
r 0000
r 0010
r 0000
r 0010
r 0100
r 0110
r 0100
r 0110

# 多样化热点访问模式
r 0000
r 0100
r 0000
r 0100
r 0000
r 0100
r 0010
r 0110
r 0010
r 0110
r 0D00  # 组0，冲突块
r 0D10  # 组1，冲突块
r 0000
r 0100
r 0000
r 0100
r 0010
r 0110
r 0010
r 0110

# 循环7
r 0000
